Case,Context,Interventions,Bridge,Outcome,Comb variable count,pyAgrum reduced nodes,Julia warm median ms,pyAgrum warm median ms,pyAgrum / Julia,Faster implementation,Max abs diff,Full effect match
diabetes_steatosis,,diabetes,obesity,Steatosis,3,3,3.484,2.533,0.73,pyAgrum,0.000e+00,True
gallstone_injection,,gallstones,choledocholithotomy,injections,3,3,3.59,2.836,0.79,pyAgrum,0.000e+00,True
steatosis_cirrhosis,,alcoholism; obesity,Steatosis,Cirrhosis,4,4,3.128,4.617,1.48,Julia,0.000e+00,True
toxic_hepatitis_fatigue,,hepatotoxic; alcoholism,THepatitis,fatigue,4,4,3.229,4.02,1.24,Julia,0.000e+00,True
toxic_hepatitis_fatigue_context,alcoholism,hepatotoxic,THepatitis,fatigue,4,4,4.497,5.222,1.16,Julia,0.000e+00,True
pbc_bilirubin,,age; sex,PBC; Hyperbilirubinemia,bilirubin,5,5,5.206,6.284,1.21,Julia,0.000e+00,True
pbc_bilirubin_context,age,sex,PBC; Hyperbilirubinemia,bilirubin,5,5,4.698,7.465,1.59,Julia,0.000e+00,True
pbc_inr,,age; sex,PBC; Hyperbilirubinemia,inr,5,5,4.119,6.301,1.53,Julia,0.000e+00,True
pbc_pressure_ruq,,age; sex,PBC; Hyperbilirubinemia,pressure_ruq,5,5,4.119,6.422,1.56,Julia,0.000e+00,True
toxic_hepatitis_two_bridge,,hepatotoxic; alcoholism,THepatitis; RHepatitis,fatigue,5,5,4.16,6.726,1.62,Julia,0.000e+00,True
viral_hbsag,,injections; transfusion; vh_amn,ChHepatitis,hbsag,5,5,4.753,8.167,1.72,Julia,0.000e+00,True
viral_hbsag_context,vh_amn,injections; transfusion,ChHepatitis,hbsag,5,5,4.726,8.264,1.75,Julia,0.000e+00,True
hospital_exposure,,hospital; surgery; choledocholithotomy,injections; transfusion,ChHepatitis,6,6,7.774,14.763,1.9,Julia,0.000e+00,True
hospital_exposure_context,hospital,surgery; choledocholithotomy,injections; transfusion,ChHepatitis,6,6,8.272,15.562,1.88,Julia,0.000e+00,True
hospital_hbsag,,hospital; surgery; choledocholithotomy,injections; transfusion,hbsag,6,6,6.261,14.016,2.24,Julia,0.000e+00,True
hospital_hbsag_context,hospital,surgery; choledocholithotomy,injections; transfusion,hbsag,6,6,6.37,13.599,2.13,Julia,0.000e+00,True
liver_injury_alt,,alcoholism; obesity; hepatotoxic,Steatosis; THepatitis; RHepatitis,alt,7,7,8.61,17.451,2.03,Julia,0.000e+00,True
liver_injury_alt_context,alcoholism,obesity; hepatotoxic,Steatosis; THepatitis; RHepatitis,alt,7,7,7.19,17.501,2.43,Julia,0.000e+00,True
liver_injury_ggtp,,alcoholism; obesity; hepatotoxic,Steatosis; THepatitis; RHepatitis,ggtp,7,7,8.02,16.281,2.03,Julia,0.000e+00,True
